Channel,LocID Root,Baseline,Band,Inst. Code,Orien. Code,sps,LocID,Chan Code,locID.CHA
237,VBB 3 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,W,4,16,MLW,16.MLW
238,VBB 3 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,W,2,17,MLW,17.MLW
239,VBB 3 Velocity Low Gain Engin. mode,15,Transmitted raw data,L,L,W,1,15,LLW,15.LLW
240,VBB 3 Position High Gain Science mode,00,Transmitted raw data,L,M,W,1,00,LMW,00.LMW
241,VBB 3 Position High Gain Science mode,00,Transmitted raw data,V,M,W,0.5,00,VMW,00.VMW
242,VBB 3 Position High Gain Science mode,00,Transmitted raw data,V,M,W,0.25,01,VMW,01.VMW
243,VBB 3 Position High Gain Science mode,00,Transmitted raw data,V,M,W,0.2,02,VMW,02.VMW
244,VBB 3 Position High Gain Science mode,00,Transmitted raw data,V,M,W,0.1,03,VMW,03.VMW
245,VBB 3 Position High Gain Science mode,00,Transmitted raw data,U,M,W,0.05,00,UMW,00.UMW
246,VBB 3 Position High Gain Science mode,00,Transmitted raw data,U,M,W,0.025,01,UMW,01.UMW
247,VBB 3 Position High Gain Science mode,00,Transmitted raw data,U,M,W,0.02,02,UMW,02.UMW
248,VBB 3 Position High Gain Science mode,00,Transmitted raw data,U,M,W,0.01,03,UMW,03.UMW
249,VBB 3 Position High Gain Science mode,00,Transmitted raw data,R,M,W,0.005,00,RMW,00.RMW
250,VBB 3 Position High Gain Science mode,00,Transmitted raw data,R,M,W,0.001,01,RMW,01.RMW
251,VBB 3 Position High Gain Science mode,00,Transmitted raw data,R,M,W,1/1800,02,RMW,02.RMW
252,VBB 3 Position High Gain Science mode,00,Transmitted raw data,R,M,W,1/3600,03,RMW,03.RMW
253,VBB 3 Position Low Gain Science mode,05,Transmitted raw data,L,M,W,1,05,LMW,05.LMW
254,VBB 3 Position Low Gain Science mode,05,Transmitted raw data,V,M,W,0.5,05,VMW,05.VMW
255,VBB 3 Position Low Gain Science mode,05,Transmitted raw data,V,M,W,0.25,06,VMW,06.VMW
256,VBB 3 Position Low Gain Science mode,05,Transmitted raw data,V,M,W,0.2,07,VMW,07.VMW
257,VBB 3 Position Low Gain Science mode,05,Transmitted raw data,V,M,W,0.1,08,VMW,08.VMW
258,VBB 3 Position Low Gain Science mode,05,Transmitted raw data,U,M,W,0.05,05,UMW,05.UMW
259,VBB 3 Position Low Gain Science mode,05,Transmitted raw data,U,M,W,0.025,06,UMW,06.UMW
260,VBB 3 Position Low Gain Science mode,05,Transmitted raw data,U,M,W,0.02,07,UMW,07.UMW
